country,"hdi2019",pop2021
Norway,0.957,5465.63
Ireland,0.955,4982.907
Switzerland,0.955,8715.494
Iceland,0.949,343.353
Hong Kong,0.949,7552.81
Germany,0.947,83900.473
Sweden,0.945,10160.169
Netherlands,0.944,17173.099
Australia,0.944,25788.215
Denmark,0.94,5813.298
Finland,0.938,5548.36
Singapore,0.938,5896.686
United Kingdom,0.932,68207.116
New Zealand,0.931,4860.643
Belgium,0.931,11632.326
Canada,0.929,38067.903
United States,0.926,332915.073
Austria,0.922,9043.07
Liechtenstein,0.919,38.25
Israel,0.919,8789.774
Japan,0.919,126050.804
Slovenia,0.917,2078.724
Luxembourg,0.916,634.814
South Korea,0.916,51305.186
Spain,0.904,46745.216
France,0.901,65426.179
Malta,0.895,442.784
Estonia,0.892,1325.185
Italy,0.892,60367.477
United Arab Emirates,0.89,9991.089
Greece,0.888,10370.744
Cyprus,0.887,1215.584
Lithuania,0.882,2689.862
Poland,0.88,37797.005
Andorra,0.868,77.355
Latvia,0.866,1866.942
Portugal,0.864,10167.925
Slovakia,0.86,5460.721
Hungary,0.854,9634.164
Saudi Arabia,0.854,35340.683
Bahrain,0.852,1748.296
Croatia,0.851,4081.651
Chile,0.851,19212.361
Qatar,0.848,2930.528
Argentina,0.845,45605.826
Montenegro,0.829,628.053
Romania,0.828,19127.774
Palau,0.826,18.169
Kazakhstan,0.825,18994.962
Russia,0.824,145912.025
Belarus,0.823,9442.862
Turkey,0.82,85042.738
Uruguay,0.817,3485.151
Bulgaria,0.816,6896.663
Panama,0.815,4381.579
Barbados,0.814,287.711
Bahamas,0.814,396.913
Oman,0.813,5223.375
Georgia,0.812,3979.765
Costa Rica,0.81,5139.052
Malaysia,0.81,32776.194
Kuwait,0.806,4328.55
Serbia,0.806,8697.55
Mauritius,0.804,1273.433
Seychelles,0.796,98.908
Trinidad and Tobago,0.796,1403.375
Albania,0.795,2872.933
Cuba,0.783,11317.505
Iran,0.783,85028.759
Sri Lanka,0.782,21497.31
Bosnia and Herzegovina,0.78,3263.466
Saint Kitts and Nevis,0.779,53.544
Grenada,0.779,113.021
Ukraine,0.779,43466.819
Mexico,0.779,130262.216
Antigua and Barbuda,0.778,98.731
Peru,0.777,33359.418
Thailand,0.777,69950.85
Armenia,0.776,2968.127
North Macedonia,0.774,2082.658
Colombia,0.767,51265.844
Brazil,0.765,213993.437
China,0.761,1444216.107
Saint Lucia,0.759,184.4
Ecuador,0.759,17888.475
Azerbaijan,0.756,10223.342
Dominican Republic,0.756,10953.703
Moldova,0.75,4024.019
Algeria,0.748,44616.624
Lebanon,0.744,6769.146
Fiji,0.743,902.906
Dominica,0.742,72.167
Maldives,0.74,543.617
Tunisia,0.74,11935.766
Saint Vincent and the Grenadines,0.738,111.263
Suriname,0.738,591.8
Mongolia,0.737,3329.289
Botswana,0.735,2397.241
Jamaica,0.734,2973.463
Jordan,0.729,10269.021
Paraguay,0.728,7219.638
Tonga,0.725,106.76
Libya,0.724,6958.532
Uzbekistan,0.72,33935.763
Bolivia,0.718,11832.94
Philippines,0.718,111046.913
Indonesia,0.718,276361.783
Belize,0.716,404.914
Samoa,0.715,200.149
Turkmenistan,0.715,6117.924
Venezuela,0.711,28704.954
South Africa,0.709,60041.994
Palestine,0.708,5222.748
Egypt,0.707,104258.327
Marshall Islands,0.704,59.61
Vietnam,0.704,98168.833
Gabon,0.703,2278.825
Kyrgyzstan,0.697,6628.356
Morocco,0.686,37344.795
Guyana,0.682,790.326
Iraq,0.674,41179.35
El Salvador,0.673,6518.499
Tajikistan,0.668,9749.627
Guatemala,0.663,18249.86
Nicaragua,0.66,6702.385
Bhutan,0.654,779.898
Namibia,0.646,2587.344
India,0.645,1393409.038
Honduras,0.634,10062.991
Bangladesh,0.632,166303.498
Kiribati,0.63,121.392
Sao Tome and Principe,0.625,223.368
Micronesia,0.62,116.254
Laos,0.613,7379.358
Eswatini,0.611,1172.362
Ghana,0.611,31732.129
Vanuatu,0.609,314.464
Timor-Leste,0.606,1343.873
Nepal,0.602,29674.92
Kenya,0.601,54985.698
Cambodia,0.594,16946.438
Equatorial Guinea,0.592,1449.896
Zambia,0.584,18920.651
Myanmar,0.583,54806.012
Angola,0.581,33933.61
Republic of the Congo,0.574,5657.013
Zimbabwe,0.571,15092.171
Solomon Islands,0.567,703.996
Syria,0.567,18275.702
Cameroon,0.563,27224.265
Pakistan,0.557,225199.937
Papua New Guinea,0.555,9119.01
Comoros,0.554,888.451
Mauritania,0.546,4775.119
Benin,0.545,12451.04
Uganda,0.544,47123.531
Rwanda,0.543,13276.513
Nigeria,0.539,211400.708
Ivory Coast,0.538,27053.629
Tanzania,0.529,61498.437
Madagascar,0.528,28427.328
Lesotho,0.527,2159.079
Djibouti,0.524,1002.187
Togo,0.515,8478.25
Senegal,0.512,17196.301
Afghanistan,0.511,39835.428
Haiti,0.51,11541.685
Sudan,0.51,44909.353
Gambia,0.496,2486.945
Ethiopia,0.485,117876.227
Malawi,0.483,19647.684
Guinea-Bissau,0.48,2015.494
Liberia,0.48,5180.203
DR Congo,0.48,92377.993
Guinea,0.477,13497.244
Yemen,0.47,30490.64
Eritrea,0.459,3601.467
Mozambique,0.456,32163.047
Sierra Leone,0.452,8141.343
Burkina Faso,0.452,21497.096
Mali,0.434,20855.735
South Sudan,0.433,11381.378
Burundi,0.433,12255.433
Chad,0.398,16914.985
Central African Republic,0.397,4919.981
Niger,0.394,25130.817
